[2023-06-05 01:53:23,216050] front.INFO  [NULL] [7b96001b] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [GET, /, 2.58.56.72, NULL, Mozlila/5.0 (Linux; Android 7.0; SM-G892A Bulid/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/60.0.3112.107 Moblie Safari/537.36]
[2023-06-05 01:53:23,216626] front.INFO  [NULL] [7b96001b] [NULL] [LogListener:onKernelRequest:60] - PROCESS START ["homepage"]  [GET, /, 2.58.56.72, NULL, Mozlila/5.0 (Linux; Android 7.0; SM-G892A Bulid/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/60.0.3112.107 Moblie Safari/537.36]
[2023-06-05 01:53:23,225549] front.INFO  [fb5e0734] [7b96001b] [NULL] [LogListener:onKernelController:73] - LOGIC START ["homepage"]  [GET, /, 2.58.56.72, NULL, Mozlila/5.0 (Linux; Android 7.0; SM-G892A Bulid/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/60.0.3112.107 Moblie Safari/537.36]
[2023-06-05 01:53:23,246090] front.INFO  [fb5e0734] [7b96001b] [NULL] [LogListener:onKernelResponse:86] - LOGIC END ["homepage"]  [GET, /, 2.58.56.72, NULL, Mozlila/5.0 (Linux; Android 7.0; SM-G892A Bulid/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/60.0.3112.107 Moblie Safari/537.36]
[2023-06-05 01:53:23,246770] front.INFO  [fb5e0734] [7b96001b] [NULL] [LogListener:onKernelTerminate:95] - PROCESS END ["homepage"]  [GET, /, 2.58.56.72, NULL, Mozlila/5.0 (Linux; Android 7.0; SM-G892A Bulid/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/60.0.3112.107 Moblie Safari/537.36]
[2023-06-05 01:53:23,481928] front.INFO  [NULL] [87b3e642] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [GET, /ngjatceu.php?Fox=d3wL7, 2.58.56.72, www.google.com, Mozilla/5.0 (Linux; Android 7.0; SM-G892A Bulid/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/60.0.3112.107 Moblie Safari/537.36]
[2023-06-05 01:53:23,483201] front.INFO  [NULL] [87b3e642] [NULL] [LogListener:onKernelException:105] - No route found for "GET /ngjatceu.php" (from "www.google.com") [404]  [GET, /ngjatceu.php?Fox=d3wL7, 2.58.56.72, www.google.com, Mozilla/5.0 (Linux; Android 7.0; SM-G892A Bulid/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/60.0.3112.107 Moblie Safari/537.36]
[2023-06-05 01:53:23,484648] front.INFO  [7ac66458] [87b3e642] [NULL] [LogListener:onKernelResponse:86] - LOGIC END [null]  [GET, /ngjatceu.php?Fox=d3wL7, 2.58.56.72, www.google.com, Mozilla/5.0 (Linux; Android 7.0; SM-G892A Bulid/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/60.0.3112.107 Moblie Safari/537.36]
[2023-06-05 01:53:23,484989] front.INFO  [7ac66458] [87b3e642] [NULL] [LogListener:onKernelTerminate:95] - PROCESS END [null]  [GET, /ngjatceu.php?Fox=d3wL7, 2.58.56.72, www.google.com, Mozilla/5.0 (Linux; Android 7.0; SM-G892A Bulid/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/60.0.3112.107 Moblie Safari/537.36]
[2023-06-05 01:53:23,483234] front.INFO  [NULL] [404dbedf] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [POST, /alfacgiapi/perl.alfa, 2.58.56.72, www.google.com, Mozlila/5.0 (Linux; Android 7.0; SM-G892A Bulid/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/60.0.3112.107 Moblie Safari/537.36]
