[2023-06-01 00:43:53,276507] front.INFO  [6e25beaf] [2e31aa2e] [NULL] [LogListener:onKernelTerminate:95] - PROCESS END ["homepage"]  [GET, /, 51.222.253.10, NULL, Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)]
[2023-06-01 01:29:55,891426] front.INFO  [NULL] [780a37ff] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [GET, /products/detail/68, 49.106.104.56, https://kuninaga.hp.peraichi.com/, Mozilla/5.0 (Linux; Android 12; SC-53B Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/111.0.5563.116 Mobile Safari/537.36 Line/13.5.0/IAB]
[2023-06-01 01:29:55,899890] front.INFO  [911a137f] [780a37ff] [102] [LogListener:onKernelRequest:60] - PROCESS START ["product_detail"]  [GET, /products/detail/68, 49.106.104.56, https://kuninaga.hp.peraichi.com/, Mozilla/5.0 (Linux; Android 12; SC-53B Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/111.0.5563.116 Mobile Safari/537.36 Line/13.5.0/IAB]
[2023-06-01 01:29:55,907195] front.INFO  [911a137f] [780a37ff] [102] [LogListener:onKernelController:73] - LOGIC START ["product_detail"]  [GET, /products/detail/68, 49.106.104.56, https://kuninaga.hp.peraichi.com/, Mozilla/5.0 (Linux; Android 12; SC-53B Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/111.0.5563.116 Mobile Safari/537.36 Line/13.5.0/IAB]
[2023-06-01 01:29:55,937708] front.INFO  [911a137f] [780a37ff] [102] [LogListener:onKernelResponse:86] - LOGIC END ["product_detail"]  [GET, /products/detail/68, 49.106.104.56, https://kuninaga.hp.peraichi.com/, Mozilla/5.0 (Linux; Android 12; SC-53B Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/111.0.5563.116 Mobile Safari/537.36 Line/13.5.0/IAB]
[2023-06-01 01:29:55,938426] front.INFO  [911a137f] [780a37ff] [102] [LogListener:onKernelTerminate:95] - PROCESS END ["product_detail"]  [GET, /products/detail/68, 49.106.104.56, https://kuninaga.hp.peraichi.com/, Mozilla/5.0 (Linux; Android 12; SC-53B Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/111.0.5563.116 Mobile Safari/537.36 Line/13.5.0/IAB]
[2023-06-01 01:30:01,145810] front.INFO  [NULL] [b6380724] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [POST, /products/detail/68?, 49.106.104.56, https://biken-shop-mall.com/products/detail/68, Mozilla/5.0 (Linux; Android 12; SC-53B Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/111.0.5563.116 Mobile Safari/537.36 Line/13.5.0/IAB]
[2023-06-01 01:30:01,153482] front.INFO  [911a137f] [b6380724] [102] [LogListener:onKernelRequest:60] - PROCESS START ["product_detail"]  [POST, /products/detail/68?, 49.106.104.56, https://biken-shop-mall.com/products/detail/68, Mozilla/5.0 (Linux; Android 12; SC-53B Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/111.0.5563.116 Mobile Safari/537.36 Line/13.5.0/IAB]
[2023-06-01 01:30:01,161373] front.INFO  [911a137f] [b6380724] [102] [LogListener:onKernelController:73] - LOGIC START ["product_detail"]  [POST, /products/detail/68?, 49.106.104.56, https://biken-shop-mall.com/products/detail/68, Mozilla/5.0 (Linux; Android 12; SC-53B Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/111.0.5563.116 Mobile Safari/537.36 Line/13.5.0/IAB]
[2023-06-01 01:30:01,189156] front.INFO  [911a137f] [b6380724] [102] [ProductController:detail:270] - カート追加処理開始 {"product_id":68,"product_class_id":"76","quantity":1}  [POST, /products/detail/68?, 49.106.104.56, https://biken-shop-mall.com/products/detail/68, Mozilla/5.0 (Linux; Android 12; SC-53B Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/111.0.5563.116 Mobile Safari/537.36 Line/13.5.0/IAB]
[2023-06-01 01:30:01,196756] front.INFO  [911a137f] [b6380724] [102] [ProductController:detail:279] - カート追加処理完了 {"product_id":68,"product_class_id":"76","quantity":1}  [POST, /products/detail/68?, 49.106.104.56, https://biken-shop-mall.com/products/detail/68, Mozilla/5.0 (Linux; Android 12; SC-53B Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/111.0.5563.116 Mobile Safari/537.36 Line/13.5.0/IAB]
[2023-06-01 01:30:01,197492] front.INFO  [911a137f] [b6380724] [102] [LogListener:onKernelResponse:86] - LOGIC END ["product_detail"]  [POST, /products/detail/68?, 49.106.104.56, https://biken-shop-mall.com/products/detail/68, Mozilla/5.0 (Linux; Android 12; SC-53B Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/111.0.5563.116 Mobile Safari/537.36 Line/13.5.0/IAB]
[2023-06-01 01:30:01,198514] front.INFO  [911a137f] [b6380724] [102] [LogListener:onKernelTerminate:95] - PROCESS END ["product_detail"]  [POST, /products/detail/68?, 49.106.104.56, https://biken-shop-mall.com/products/detail/68, Mozilla/5.0 (Linux; Android 12; SC-53B Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/111.0.5563.116 Mobile Safari/537.36 Line/13.5.0/IAB]
[2023-06-01 01:30:01,285423] front.INFO  [NULL] [fac4c931] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [GET, /cart, 49.106.104.56, https://biken-shop-mall.com/products/detail/68, Mozilla/5.0 (Linux; Android 12; SC-53B Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/111.0.5563.116 Mobile Safari/537.36 Line/13.5.0/IAB]
[2023-06-01 01:30:01,293099] front.INFO  [911a137f] [fac4c931] [102] [LogListener:onKernelRequest:60] - PROCESS START ["cart"]  [GET, /cart, 49.106.104.56, https://biken-shop-mall.com/products/detail/68, Mozilla/5.0 (Linux; Android 12; SC-53B Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/111.0.5563.116 Mobile Safari/537.36 Line/13.5.0/IAB]
[2023-06-01 01:30:01,301054] front.INFO  [911a137f] [fac4c931] [102] [LogListener:onKernelController:73] - LOGIC START ["cart"]  [GET, /cart, 49.106.104.56, https://biken-shop-mall.com/products/detail/68, Mozilla/5.0 (Linux; Android 12; SC-53B Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/111.0.5563.116 Mobile Safari/537.36 Line/13.5.0/IAB]
[2023-06-01 01:30:01,331327] front.INFO  [911a137f] [fac4c931] [102] [LogListener:onKernelResponse:86] - LOGIC END ["cart"]  [GET, /cart, 49.106.104.56, https://biken-shop-mall.com/products/detail/68, Mozilla/5.0 (Linux; Android 12; SC-53B Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/111.0.5563.116 Mobile Safari/537.36 Line/13.5.0/IAB]
