[2023-05-31 02:51:08,282927] front.INFO  [68295888] [4f6784b4] [NULL] [LogListener:onKernelController:73] - LOGIC START ["homepage"]  [GET, /, 45.126.3.252, NULL, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36]
[2023-05-31 02:51:08,303301] front.INFO  [68295888] [4f6784b4] [NULL] [LogListener:onKernelResponse:86] - LOGIC END ["homepage"]  [GET, /, 45.126.3.252, NULL, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36]
[2023-05-31 02:51:08,303872] front.INFO  [68295888] [4f6784b4] [NULL] [LogListener:onKernelTerminate:95] - PROCESS END ["homepage"]  [GET, /, 45.126.3.252, NULL, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36]
[2023-05-31 02:53:45,283004] front.INFO  [NULL] [da6384c5] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [GET, /products/list?category_id=12, 51.222.253.11, NULL, Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)]
[2023-05-31 02:53:45,283703] front.INFO  [NULL] [da6384c5] [NULL] [LogListener:onKernelRequest:60] - PROCESS START ["product_list"]  [GET, /products/list?category_id=12, 51.222.253.11, NULL, Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)]
[2023-05-31 02:53:45,292209] front.INFO  [f12f4bec] [da6384c5] [NULL] [LogListener:onKernelController:73] - LOGIC START ["product_list"]  [GET, /products/list?category_id=12, 51.222.253.11, NULL, Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)]
[2023-05-31 02:53:45,329694] front.INFO  [f12f4bec] [da6384c5] [NULL] [LogListener:onKernelResponse:86] - LOGIC END ["product_list"]  [GET, /products/list?category_id=12, 51.222.253.11, NULL, Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)]
[2023-05-31 02:53:45,330291] front.INFO  [f12f4bec] [da6384c5] [NULL] [LogListener:onKernelTerminate:95] - PROCESS END ["product_list"]  [GET, /products/list?category_id=12, 51.222.253.11, NULL, Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)]
[2023-05-31 02:54:07,817771] front.INFO  [NULL] [1f6d493c] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [GET, /, 13.230.8.173, NULL, axios/0.21.0]
[2023-05-31 02:54:07,818310] front.INFO  [NULL] [1f6d493c] [NULL] [LogListener:onKernelRequest:60] - PROCESS START ["homepage"]  [GET, /, 13.230.8.173, NULL, axios/0.21.0]
[2023-05-31 02:54:07,827734] front.INFO  [9c7a5e11] [1f6d493c] [NULL] [LogListener:onKernelController:73] - LOGIC START ["homepage"]  [GET, /, 13.230.8.173, NULL, axios/0.21.0]
[2023-05-31 02:54:07,854474] front.INFO  [9c7a5e11] [1f6d493c] [NULL] [LogListener:onKernelResponse:86] - LOGIC END ["homepage"]  [GET, /, 13.230.8.173, NULL, axios/0.21.0]
[2023-05-31 02:54:07,855574] front.INFO  [9c7a5e11] [1f6d493c] [NULL] [LogListener:onKernelTerminate:95] - PROCESS END ["homepage"]  [GET, /, 13.230.8.173, NULL, axios/0.21.0]
[2023-05-31 02:59:06,464311] front.INFO  [NULL] [d5224fc5] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [GET, /products/detail/69, 65.109.145.231, NULL, Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36]
[2023-05-31 02:59:06,465027] front.INFO  [NULL] [d5224fc5] [NULL] [LogListener:onKernelRequest:60] - PROCESS START ["product_detail"]  [GET, /products/detail/69, 65.109.145.231, NULL, Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36]
[2023-05-31 02:59:06,473345] front.INFO  [a4d652dc] [d5224fc5] [NULL] [LogListener:onKernelController:73] - LOGIC START ["product_detail"]  [GET, /products/detail/69, 65.109.145.231, NULL, Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36]
[2023-05-31 02:59:06,503889] front.INFO  [a4d652dc] [d5224fc5] [NULL] [LogListener:onKernelResponse:86] - LOGIC END ["product_detail"]  [GET, /products/detail/69, 65.109.145.231, NULL, Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36]
[2023-05-31 02:59:06,504538] front.INFO  [a4d652dc] [d5224fc5] [NULL] [LogListener:onKernelTerminate:95] - PROCESS END ["product_detail"]  [GET, /products/detail/69, 65.109.145.231, NULL, Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36]
[2023-05-31 02:59:07,025596] front.INFO  [NULL] [a9a771b1] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [GET, /products/detail/68, 65.109.145.231, NULL, Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36]
[2023-05-31 02:59:07,026177] front.INFO  [NULL] [a9a771b1] [NULL] [LogListener:onKernelRequest:60] - PROCESS START ["product_detail"]  [GET, /products/detail/68, 65.109.145.231, NULL, Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36]
[2023-05-31 02:59:07,033821] front.INFO  [509c29cb] [a9a771b1] [NULL] [LogListener:onKernelController:73] - LOGIC START ["product_detail"]  [GET, /products/detail/68, 65.109.145.231, NULL, Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36]
[2023-05-31 02:59:07,059908] front.INFO  [509c29cb] [a9a771b1] [NULL] [LogListener:onKernelResponse:86] - LOGIC END ["product_detail"]  [GET, /products/detail/68, 65.109.145.231, NULL, Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36]
[2023-05-31 02:59:07,060611] front.INFO  [509c29cb] [a9a771b1] [NULL] [LogListener:onKernelTerminate:95] - PROCESS END ["product_detail"]  [GET, /products/detail/68, 65.109.145.231, NULL, Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36]
[2023-05-31 02:59:07,357783] front.INFO  [NULL] [26fa12ba] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [GET, /products/detail/64, 65.109.145.231, NULL, Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36]
[2023-05-31 02:59:07,358319] front.INFO  [NULL] [26fa12ba] [NULL] [LogListener:onKernelRequest:60] - PROCESS START ["product_detail"]  [GET, /products/detail/64, 65.109.145.231, NULL, Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36]
[2023-05-31 02:59:07,366218] front.INFO  [c545ffbd] [26fa12ba] [NULL] [LogListener:onKernelController:73] - LOGIC START ["product_detail"]  [GET, /products/detail/64, 65.109.145.231, NULL, Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36]
[2023-05-31 02:59:07,395360] front.INFO  [c545ffbd] [26fa12ba] [NULL] [LogListener:onKernelResponse:86] - LOGIC END ["product_detail"]  [GET, /products/detail/64, 65.109.145.231, NULL, Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36]
[2023-05-31 02:59:07,396070] front.INFO  [c545ffbd] [26fa12ba] [NULL] [LogListener:onKernelTerminate:95] - PROCESS END ["product_detail"]  [GET, /products/detail/64, 65.109.145.231, NULL, Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36]
[2023-05-31 02:59:07,694296] front.INFO  [NULL] [7b87337a] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [GET, /products/detail/20, 65.109.145.231, NULL, Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36]
[2023-05-31 02:59:07,694850] front.INFO  [NULL] [7b87337a] [NULL] [LogListener:onKernelRequest:60] - PROCESS START ["product_detail"]  [GET, /products/detail/20, 65.109.145.231, NULL, Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36]
