[2023-04-24 00:02:30,030791] front.INFO  [NULL] [9eb6f750] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [GET, /.well-known/assetlinks.json, 66.249.68.51, NULL, Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)]
[2023-04-24 00:37:44,489688] front.INFO  [NULL] [83ac5860] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [GET, /, 18.237.9.202, NULL, Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.97 Safari/537.36]
[2023-04-24 00:37:44,490256] front.INFO  [NULL] [83ac5860] [NULL] [LogListener:onKernelRequest:60] - PROCESS START ["homepage"]  [GET, /, 18.237.9.202, NULL, Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.97 Safari/537.36]
[2023-04-24 00:37:44,498828] front.INFO  [79343e4d] [83ac5860] [NULL] [LogListener:onKernelController:73] - LOGIC START ["homepage"]  [GET, /, 18.237.9.202, NULL, Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.97 Safari/537.36]
[2023-04-24 00:37:44,519807] front.INFO  [79343e4d] [83ac5860] [NULL] [LogListener:onKernelResponse:86] - LOGIC END ["homepage"]  [GET, /, 18.237.9.202, NULL, Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.97 Safari/537.36]
[2023-04-24 00:37:44,521071] front.INFO  [79343e4d] [83ac5860] [NULL] [LogListener:onKernelTerminate:95] - PROCESS END ["homepage"]  [GET, /, 18.237.9.202, NULL, Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.97 Safari/537.36]
[2023-04-24 00:38:04,016434] front.INFO  [NULL] [e02aec6b] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [GET, /, 34.221.163.103, NULL, Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.97 Safari/537.36]
[2023-04-24 00:38:04,017320] front.INFO  [NULL] [e02aec6b] [NULL] [LogListener:onKernelRequest:60] - PROCESS START ["homepage"]  [GET, /, 34.221.163.103, NULL, Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.97 Safari/537.36]
[2023-04-24 00:38:04,026998] front.INFO  [7617d81c] [e02aec6b] [NULL] [LogListener:onKernelController:73] - LOGIC START ["homepage"]  [GET, /, 34.221.163.103, NULL, Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.97 Safari/537.36]
[2023-04-24 00:38:04,057011] front.INFO  [7617d81c] [e02aec6b] [NULL] [LogListener:onKernelResponse:86] - LOGIC END ["homepage"]  [GET, /, 34.221.163.103, NULL, Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.97 Safari/537.36]
[2023-04-24 00:38:04,057943] front.INFO  [7617d81c] [e02aec6b] [NULL] [LogListener:onKernelTerminate:95] - PROCESS END ["homepage"]  [GET, /, 34.221.163.103, NULL, Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.97 Safari/537.36]
[2023-04-24 00:38:08,969680] front.INFO  [NULL] [388a9510] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [GET, /, 54.190.2.194, NULL, Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.97 Safari/537.36]
[2023-04-24 00:38:08,970080] front.INFO  [NULL] [388a9510] [NULL] [LogListener:onKernelRequest:60] - PROCESS START ["homepage"]  [GET, /, 54.190.2.194, NULL, Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.97 Safari/537.36]
[2023-04-24 00:38:08,978500] front.INFO  [9b878e7d] [388a9510] [NULL] [LogListener:onKernelController:73] - LOGIC START ["homepage"]  [GET, /, 54.190.2.194, NULL, Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.97 Safari/537.36]
[2023-04-24 00:38:08,998897] front.INFO  [9b878e7d] [388a9510] [NULL] [LogListener:onKernelResponse:86] - LOGIC END ["homepage"]  [GET, /, 54.190.2.194, NULL, Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.97 Safari/537.36]
[2023-04-24 00:38:08,999659] front.INFO  [9b878e7d] [388a9510] [NULL] [LogListener:onKernelTerminate:95] - PROCESS END ["homepage"]  [GET, /, 54.190.2.194, NULL, Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.97 Safari/537.36]
[2023-04-24 00:46:36,568331] front.INFO  [NULL] [28001e86] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [GET, /, 147.92.153.1, NULL, Mozilla/5.0 (compatible; Linespider/1.1; +https://lin.ee/4dwXkTH)]
[2023-04-24 00:46:36,568886] front.INFO  [NULL] [28001e86] [NULL] [LogListener:onKernelRequest:60] - PROCESS START ["homepage"]  [GET, /, 147.92.153.1, NULL, Mozilla/5.0 (compatible; Linespider/1.1; +https://lin.ee/4dwXkTH)]
[2023-04-24 00:46:36,577465] front.INFO  [bf4f75c3] [28001e86] [NULL] [LogListener:onKernelController:73] - LOGIC START ["homepage"]  [GET, /, 147.92.153.1, NULL, Mozilla/5.0 (compatible; Linespider/1.1; +https://lin.ee/4dwXkTH)]
[2023-04-24 00:46:36,599475] front.INFO  [bf4f75c3] [28001e86] [NULL] [LogListener:onKernelResponse:86] - LOGIC END ["homepage"]  [GET, /, 147.92.153.1, NULL, Mozilla/5.0 (compatible; Linespider/1.1; +https://lin.ee/4dwXkTH)]
[2023-04-24 00:46:36,600332] front.INFO  [bf4f75c3] [28001e86] [NULL] [LogListener:onKernelTerminate:95] - PROCESS END ["homepage"]  [GET, /, 147.92.153.1, NULL, Mozilla/5.0 (compatible; Linespider/1.1; +https://lin.ee/4dwXkTH)]
[2023-04-24 00:56:05,552350] front.INFO  [NULL] [21088a01] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [GET, /, 35.92.207.34, NULL, Mozilla/5.0 (Windows NT 10.0; Win64; x64)AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36]
[2023-04-24 00:56:05,552988] front.INFO  [NULL] [21088a01] [NULL] [LogListener:onKernelRequest:60] - PROCESS START ["homepage"]  [GET, /, 35.92.207.34, NULL, Mozilla/5.0 (Windows NT 10.0; Win64; x64)AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36]
[2023-04-24 00:56:05,562976] front.INFO  [6103c46a] [21088a01] [NULL] [LogListener:onKernelController:73] - LOGIC START ["homepage"]  [GET, /, 35.92.207.34, NULL, Mozilla/5.0 (Windows NT 10.0; Win64; x64)AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36]
[2023-04-24 00:56:05,590839] front.INFO  [6103c46a] [21088a01] [NULL] [LogListener:onKernelResponse:86] - LOGIC END ["homepage"]  [GET, /, 35.92.207.34, NULL, Mozilla/5.0 (Windows NT 10.0; Win64; x64)AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36]
[2023-04-24 00:56:05,591604] front.INFO  [6103c46a] [21088a01] [NULL] [LogListener:onKernelTerminate:95] - PROCESS END ["homepage"]  [GET, /, 35.92.207.34, NULL, Mozilla/5.0 (Windows NT 10.0; Win64; x64)AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36]
[2023-04-24 01:26:04,580436] front.INFO  [NULL] [ca528800] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [GET, /, 84.17.60.53, http://biken-shop-mall.com/, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36 OPR/54.0.2952.51]
