[2023-06-07 08:37:56,716446] admin.INFO  [NULL] [b1fa1686] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [GET, /bkadmin/order, 124.32.77.158, https://biken-shop-mall.com/bkadmin/?fbclid=IwAR0u5s49-hG0hyVwgMvJP7qUgIIYLHppyp8rle5UsbND6lrofkE0exrp1Rg, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36]
[2023-06-07 08:37:56,720640] admin.INFO  [4b3d598a] [b1fa1686] [3] [LogListener:onKernelRequest:60] - PROCESS START ["admin_order"]  [GET, /bkadmin/order, 124.32.77.158, https://biken-shop-mall.com/bkadmin/?fbclid=IwAR0u5s49-hG0hyVwgMvJP7qUgIIYLHppyp8rle5UsbND6lrofkE0exrp1Rg, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36]
[2023-06-07 08:37:56,726426] admin.INFO  [4b3d598a] [b1fa1686] [3] [LogListener:onKernelController:73] - LOGIC START ["admin_order"]  [GET, /bkadmin/order, 124.32.77.158, https://biken-shop-mall.com/bkadmin/?fbclid=IwAR0u5s49-hG0hyVwgMvJP7qUgIIYLHppyp8rle5UsbND6lrofkE0exrp1Rg, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36]
[2023-06-07 08:37:56,741474] admin.INFO  [4b3d598a] [b1fa1686] [3] [ReceiptPdf:onAdminReceiptIndexRender:29] - Event: Order pdf hook into the order search render start.   [GET, /bkadmin/order, 124.32.77.158, https://biken-shop-mall.com/bkadmin/?fbclid=IwAR0u5s49-hG0hyVwgMvJP7qUgIIYLHppyp8rle5UsbND6lrofkE0exrp1Rg, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36]
[2023-06-07 08:37:56,741848] admin.INFO  [4b3d598a] [b1fa1686] [3] [ReceiptPdf:onAdminReceiptIndexRender:45] - Event: Order pdf hook into the order search render end.   [GET, /bkadmin/order, 124.32.77.158, https://biken-shop-mall.com/bkadmin/?fbclid=IwAR0u5s49-hG0hyVwgMvJP7qUgIIYLHppyp8rle5UsbND6lrofkE0exrp1Rg, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36]
[2023-06-07 08:37:56,748153] admin.INFO  [4b3d598a] [b1fa1686] [3] [LogListener:onKernelResponse:86] - LOGIC END ["admin_order"]  [GET, /bkadmin/order, 124.32.77.158, https://biken-shop-mall.com/bkadmin/?fbclid=IwAR0u5s49-hG0hyVwgMvJP7qUgIIYLHppyp8rle5UsbND6lrofkE0exrp1Rg, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36]
[2023-06-07 08:37:56,749051] admin.INFO  [4b3d598a] [b1fa1686] [3] [LogListener:onKernelTerminate:95] - PROCESS END ["admin_order"]  [GET, /bkadmin/order, 124.32.77.158, https://biken-shop-mall.com/bkadmin/?fbclid=IwAR0u5s49-hG0hyVwgMvJP7qUgIIYLHppyp8rle5UsbND6lrofkE0exrp1Rg, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36]
[2023-06-07 08:37:58,530494] admin.INFO  [NULL] [99c52084] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [POST, /bkadmin/order, 124.32.77.158, https://biken-shop-mall.com/bkadmin/order, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36]
[2023-06-07 08:37:58,534058] admin.INFO  [4b3d598a] [99c52084] [3] [LogListener:onKernelRequest:60] - PROCESS START ["admin_order"]  [POST, /bkadmin/order, 124.32.77.158, https://biken-shop-mall.com/bkadmin/order, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36]
[2023-06-07 08:37:58,538173] admin.INFO  [4b3d598a] [99c52084] [3] [LogListener:onKernelController:73] - LOGIC START ["admin_order"]  [POST, /bkadmin/order, 124.32.77.158, https://biken-shop-mall.com/bkadmin/order, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36]
