[2023-06-15 10:50:58,126713] front.INFO  [NULL] [90abaf0c] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [GET, /, 40.77.167.124, NULL, Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/103.0.5060.134 Safari/537.36]
[2023-06-15 10:50:58,127422] front.INFO  [NULL] [90abaf0c] [NULL] [LogListener:onKernelRequest:60] - PROCESS START ["homepage"]  [GET, /, 40.77.167.124, NULL, Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/103.0.5060.134 Safari/537.36]
[2023-06-15 10:50:58,137384] front.INFO  [6f1519ed] [90abaf0c] [NULL] [LogListener:onKernelController:73] - LOGIC START ["homepage"]  [GET, /, 40.77.167.124, NULL, Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/103.0.5060.134 Safari/537.36]
[2023-06-15 10:50:58,164894] front.INFO  [6f1519ed] [90abaf0c] [NULL] [LogListener:onKernelResponse:86] - LOGIC END ["homepage"]  [GET, /, 40.77.167.124, NULL, Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/103.0.5060.134 Safari/537.36]
[2023-06-15 10:50:58,165653] front.INFO  [6f1519ed] [90abaf0c] [NULL] [LogListener:onKernelTerminate:95] - PROCESS END ["homepage"]  [GET, /, 40.77.167.124, NULL, Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/103.0.5060.134 Safari/537.36]
[2023-06-15 10:58:23,028411] front.INFO  [NULL] [1a01d631] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [GET, /, 4.216.184.170, NULL, NULL]
[2023-06-15 10:58:23,028949] front.INFO  [NULL] [1a01d631] [NULL] [LogListener:onKernelRequest:60] - PROCESS START ["homepage"]  [GET, /, 4.216.184.170, NULL, NULL]
[2023-06-15 10:58:23,038374] front.INFO  [f4830b19] [1a01d631] [NULL] [LogListener:onKernelController:73] - LOGIC START ["homepage"]  [GET, /, 4.216.184.170, NULL, NULL]
[2023-06-15 10:58:23,059113] front.INFO  [f4830b19] [1a01d631] [NULL] [LogListener:onKernelResponse:86] - LOGIC END ["homepage"]  [GET, /, 4.216.184.170, NULL, NULL]
[2023-06-15 10:58:23,059747] front.INFO  [f4830b19] [1a01d631] [NULL] [LogListener:onKernelTerminate:95] - PROCESS END ["homepage"]  [GET, /, 4.216.184.170, NULL, NULL]
[2023-06-15 11:59:52,739434] front.INFO  [NULL] [da11d5b1] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [GET, /, 46.4.33.48, NULL, Mozilla/5.0 (Windows; U; Windows NT 5.1; ru; rv:1.9.0.1) Gecko/2008070208]
[2023-06-15 11:59:52,740059] front.INFO  [NULL] [da11d5b1] [NULL] [LogListener:onKernelRequest:60] - PROCESS START ["homepage"]  [GET, /, 46.4.33.48, NULL, Mozilla/5.0 (Windows; U; Windows NT 5.1; ru; rv:1.9.0.1) Gecko/2008070208]
[2023-06-15 11:59:52,749819] front.INFO  [ddd1851e] [da11d5b1] [NULL] [LogListener:onKernelController:73] - LOGIC START ["homepage"]  [GET, /, 46.4.33.48, NULL, Mozilla/5.0 (Windows; U; Windows NT 5.1; ru; rv:1.9.0.1) Gecko/2008070208]
[2023-06-15 11:59:52,771367] front.INFO  [ddd1851e] [da11d5b1] [NULL] [LogListener:onKernelResponse:86] - LOGIC END ["homepage"]  [GET, /, 46.4.33.48, NULL, Mozilla/5.0 (Windows; U; Windows NT 5.1; ru; rv:1.9.0.1) Gecko/2008070208]
[2023-06-15 11:59:52,772017] front.INFO  [ddd1851e] [da11d5b1] [NULL] [LogListener:onKernelTerminate:95] - PROCESS END ["homepage"]  [GET, /, 46.4.33.48, NULL, Mozilla/5.0 (Windows; U; Windows NT 5.1; ru; rv:1.9.0.1) Gecko/2008070208]
[2023-06-15 12:05:06,215162] front.INFO  [NULL] [44913c71] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [GET, /, 116.202.49.19, NULL, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36]
[2023-06-15 12:05:06,215707] front.INFO  [NULL] [44913c71] [NULL] [LogListener:onKernelRequest:60] - PROCESS START ["homepage"]  [GET, /, 116.202.49.19, NULL, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36]
[2023-06-15 12:05:06,225180] front.INFO  [a9c8f52f] [44913c71] [NULL] [LogListener:onKernelController:73] - LOGIC START ["homepage"]  [GET, /, 116.202.49.19, NULL, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36]
[2023-06-15 12:05:06,247113] front.INFO  [a9c8f52f] [44913c71] [NULL] [LogListener:onKernelResponse:86] - LOGIC END ["homepage"]  [GET, /, 116.202.49.19, NULL, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36]
[2023-06-15 12:05:06,247825] front.INFO  [a9c8f52f] [44913c71] [NULL] [LogListener:onKernelTerminate:95] - PROCESS END ["homepage"]  [GET, /, 116.202.49.19, NULL, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36]
[2023-06-15 12:05:32,819914] front.INFO  [NULL] [6d1d2239] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [GET, /, 116.202.49.19, NULL, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36]
[2023-06-15 12:05:32,820417] front.INFO  [NULL] [6d1d2239] [NULL] [LogListener:onKernelRequest:60] - PROCESS START ["homepage"]  [GET, /, 116.202.49.19, NULL, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36]
[2023-06-15 12:05:32,829398] front.INFO  [2ba172fb] [6d1d2239] [NULL] [LogListener:onKernelController:73] - LOGIC START ["homepage"]  [GET, /, 116.202.49.19, NULL, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36]
[2023-06-15 12:05:32,850902] front.INFO  [2ba172fb] [6d1d2239] [NULL] [LogListener:onKernelResponse:86] - LOGIC END ["homepage"]  [GET, /, 116.202.49.19, NULL, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36]
[2023-06-15 12:05:32,851638] front.INFO  [2ba172fb] [6d1d2239] [NULL] [LogListener:onKernelTerminate:95] - PROCESS END ["homepage"]  [GET, /, 116.202.49.19, NULL, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36]
[2023-06-15 12:06:17,009571] front.INFO  [NULL] [d3e1fc6f] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [GET, /help/about, 116.202.49.19, NULL, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36]
[2023-06-15 12:06:17,010206] front.INFO  [NULL] [d3e1fc6f] [NULL] [LogListener:onKernelRequest:60] - PROCESS START ["help_about"]  [GET, /help/about, 116.202.49.19, NULL, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36]
[2023-06-15 12:06:17,021320] front.INFO  [18dbda43] [d3e1fc6f] [NULL] [LogListener:onKernelController:73] - LOGIC START ["help_about"]  [GET, /help/about, 116.202.49.19, NULL, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36]
[2023-06-15 12:06:17,035077] front.INFO  [18dbda43] [d3e1fc6f] [NULL] [LogListener:onKernelResponse:86] - LOGIC END ["help_about"]  [GET, /help/about, 116.202.49.19, NULL, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36]
[2023-06-15 12:06:17,035680] front.INFO  [18dbda43] [d3e1fc6f] [NULL] [LogListener:onKernelTerminate:95] - PROCESS END ["help_about"]  [GET, /help/about, 116.202.49.19, NULL, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36]
[2023-06-15 12:06:19,236846] front.INFO  [NULL] [70589bcd] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [GET, /contact, 116.202.49.19, NULL, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36]
[2023-06-15 12:06:19,237317] front.INFO  [NULL] [70589bcd] [NULL] [LogListener:onKernelRequest:60] - PROCESS START ["contact"]  [GET, /contact, 116.202.49.19, NULL, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36]
[2023-06-15 12:06:19,248092] front.INFO  [6cdd7c4f] [70589bcd] [NULL] [LogListener:onKernelController:73] - LOGIC START ["contact"]  [GET, /contact, 116.202.49.19, NULL, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36]
[2023-06-15 12:06:19,265668] front.INFO  [6cdd7c4f] [70589bcd] [NULL] [LogListener:onKernelResponse:86] - LOGIC END ["contact"]  [GET, /contact, 116.202.49.19, NULL, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36]
[2023-06-15 12:06:19,266389] front.INFO  [6cdd7c4f] [70589bcd] [NULL] [LogListener:onKernelTerminate:95] - PROCESS END ["contact"]  [GET, /contact, 116.202.49.19, NULL, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36]
[2023-06-15 12:11:41,319369] front.INFO  [NULL] [1ff7c553] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [GET, /, 153.132.11.124, https://biken-shop-mall.com/bkadmin/order, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36]
[2023-06-15 12:11:41,320019] front.INFO  [9a52c118] [1ff7c553] [NULL] [LogListener:onKernelRequest:60] - PROCESS START ["homepage"]  [GET, /, 153.132.11.124, https://biken-shop-mall.com/bkadmin/order, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36]
[2023-06-15 12:11:41,329273] front.INFO  [9a52c118] [1ff7c553] [NULL] [LogListener:onKernelController:73] - LOGIC START ["homepage"]  [GET, /, 153.132.11.124, https://biken-shop-mall.com/bkadmin/order, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36]
[2023-06-15 12:11:41,350627] front.INFO  [9a52c118] [1ff7c553] [NULL] [LogListener:onKernelResponse:86] - LOGIC END ["homepage"]  [GET, /, 153.132.11.124, https://biken-shop-mall.com/bkadmin/order, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36]
[2023-06-15 12:11:41,351211] front.INFO  [9a52c118] [1ff7c553] [NULL] [LogListener:onKernelTerminate:95] - PROCESS END ["homepage"]  [GET, /, 153.132.11.124, https://biken-shop-mall.com/bkadmin/order, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36]
[2023-06-15 12:17:59,263597] front.INFO  [NULL] [d67ca93d] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [GET, /products/detail/76, 147.92.179.116, NULL, facebookexternalhit/1.1;line-poker/1.0]
[2023-06-15 12:17:59,264282] front.INFO  [NULL] [d67ca93d] [NULL] [LogListener:onKernelRequest:60] - PROCESS START ["product_detail"]  [GET, /products/detail/76, 147.92.179.116, NULL, facebookexternalhit/1.1;line-poker/1.0]
[2023-06-15 12:17:59,273107] front.INFO  [aa305db8] [d67ca93d] [NULL] [LogListener:onKernelController:73] - LOGIC START ["product_detail"]  [GET, /products/detail/76, 147.92.179.116, NULL, facebookexternalhit/1.1;line-poker/1.0]
[2023-06-15 12:17:59,287977] front.INFO  [aa305db8] [d67ca93d] [NULL] [LogListener:onKernelException:105] -  [404]  [GET, /products/detail/76, 147.92.179.116, NULL, facebookexternalhit/1.1;line-poker/1.0]
[2023-06-15 12:17:59,289048] front.INFO  [aa305db8] [d67ca93d] [NULL] [LogListener:onKernelResponse:86] - LOGIC END ["product_detail"]  [GET, /products/detail/76, 147.92.179.116, NULL, facebookexternalhit/1.1;line-poker/1.0]
[2023-06-15 12:17:59,289458] front.INFO  [aa305db8] [d67ca93d] [NULL] [LogListener:onKernelTerminate:95] - PROCESS END ["product_detail"]  [GET, /products/detail/76, 147.92.179.116, NULL, facebookexternalhit/1.1;line-poker/1.0]
[2023-06-15 13:07:18,520982] front.INFO  [NULL] [e60a8963] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [GET, /, 75.119.150.252, NULL, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36]
[2023-06-15 13:07:18,521494] front.INFO  [NULL] [e60a8963] [NULL] [LogListener:onKernelRequest:60] - PROCESS START ["homepage"]  [GET, /, 75.119.150.252, NULL, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36]
[2023-06-15 13:07:18,530656] front.INFO  [a4ad999f] [e60a8963] [NULL] [LogListener:onKernelController:73] - LOGIC START ["homepage"]  [GET, /, 75.119.150.252, NULL, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36]
[2023-06-15 13:07:18,552430] front.INFO  [a4ad999f] [e60a8963] [NULL] [LogListener:onKernelResponse:86] - LOGIC END ["homepage"]  [GET, /, 75.119.150.252, NULL, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36]
[2023-06-15 13:07:18,553121] front.INFO  [a4ad999f] [e60a8963] [NULL] [LogListener:onKernelTerminate:95] - PROCESS END ["homepage"]  [GET, /, 75.119.150.252, NULL, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36]
[2023-06-15 13:07:18,811707] front.INFO  [NULL] [d33b07d7] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [GET, /wordpress, 75.119.150.252, NULL, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36]
