page_id,device_type_id,page_name,url,file_name,edit_flg,author,description,keyword,update_url,create_date,update_date,meta_robots,meta_tags
19,10,ご利用規約,help_agreement,Help/agreement,2,,,,,"2021-04-20 16:22:50","2021-04-20 16:22:50",,
20,10,会員登録(完了ページ),entry_complete,Entry/complete,2,,,,,"2021-04-20 16:22:50","2021-04-20 16:22:50",,
21,10,特定商取引に関する法律に基づく表記,help_tradelaw,Help/tradelaw,2,,,,,"2021-04-20 16:22:50","2021-04-20 16:22:50",,
22,10,本会員登録(完了ページ),entry_activate,Entry/activate,2,,,,,"2021-04-20 16:22:50","2021-04-20 16:22:50",,
23,10,商品購入,shopping,Shopping/index,2,,,,,"2021-04-20 16:22:50","2021-04-20 16:22:50",noindex,
24,10,商品購入/お届け先の指定,shopping_shipping,Shopping/shipping,2,,,,,"2021-04-20 16:22:50","2021-04-20 16:22:50",noindex,
25,10,商品購入/お届け先の複数指定,shopping_shipping_multiple,Shopping/shipping_multiple,2,,,,,"2021-04-20 16:22:50","2021-04-20 16:22:50",noindex,
28,10,商品購入/ご注文完了,shopping_complete,Shopping/complete,2,,,,,"2021-04-20 16:22:50","2021-04-20 16:22:50",noindex,
29,10,プライバシーポリシー,help_privacy,Help/privacy,2,,,,,"2021-04-20 16:22:50","2021-04-20 16:22:50",,
30,10,商品購入ログイン,shopping_login,Shopping/login,2,,,,,"2021-04-20 16:22:50","2021-04-20 16:22:50",,
31,10,非会員購入情報入力,shopping_nonmember,Shopping/nonmember,2,,,,,"2021-04-20 16:22:50","2021-04-20 16:22:50",,
32,10,商品購入/お届け先の追加,shopping_shipping_edit,Shopping/shipping_edit,2,,,,,"2021-04-20 16:22:52","2021-04-20 16:22:52",noindex,
33,10,商品購入/お届け先の複数指定(お届け先の追加),shopping_shipping_multiple_edit,Shopping/shipping_multiple_edit,2,,,,,"2021-04-20 16:22:52","2021-04-20 16:22:52",noindex,
34,10,商品購入/購入エラー,shopping_error,Shopping/shopping_error,2,,,,,"2021-04-20 16:22:52","2021-04-20 16:22:52",noindex,
35,10,ご利用ガイド,help_guide,Help/guide,2,,,,,"2021-04-20 16:22:52","2021-04-20 16:22:52",,
36,10,パスワード再発行(入力ページ),forgot,Forgot/index,2,,,,,"2021-04-20 16:22:52","2021-04-20 16:22:52",,
37,10,パスワード再発行(完了ページ),forgot_complete,Forgot/complete,2,,,,,"2021-04-20 16:22:52","2021-04-20 16:22:52",noindex,
38,10,パスワード変更(完了ページ),forgot_reset,Forgot/reset,2,,,,,"2021-04-20 16:22:52","2021-04-20 16:22:53",noindex,
39,10,商品購入/配送方法選択,shopping_delivery,Shopping/index,2,,,,,"2021-04-20 16:22:53","2021-04-20 16:22:53",noindex,
40,10,商品購入/支払方法選択,shopping_payment,Shopping/index,2,,,,,"2021-04-20 16:22:53","2021-04-20 16:22:53",noindex,
41,10,商品購入/お届け先変更,shopping_shipping_change,Shopping/index,2,,,,,"2021-04-20 16:22:53","2021-04-20 16:22:53",noindex,
42,10,商品購入/お届け先変更,shopping_shipping_edit_change,Shopping/index,2,,,,,"2021-04-20 16:22:53","2021-04-20 16:22:53",noindex,
43,10,商品購入/お届け先の複数指定,shopping_shipping_multiple_change,Shopping/index,2,,,,,"2021-04-20 16:22:53","2021-04-20 16:22:53",noindex,
44,10,MYページ/お届け先編集,mypage_delivery_edit,Mypage/delivery_edit,2,,,,,"2021-04-20 16:22:53","2021-04-20 16:22:53",noindex,
45,10,商品購入/確認,shopping_confirm,Shopping/confirm,2,,,,,"2021-04-20 16:22:54","2021-04-20 16:22:54",noindex,
46,10,MYページ/プレイリスト,mypage_video_list,Mypage/video_list,2,,,,,"2021-05-13 14:07:30","2021-05-13 14:07:30",,
47,10,MYページ/動画再生,mypage_video,Mypage/video,2,,,,,"2021-05-13 14:07:35","2021-05-13 14:07:35",,
48,10,商品購入/クーポン利用,plugin_coupon_shopping,../../Plugin/Coupon/Resource/template/default/shopping_coupon,2,,,,,"2021-05-17 15:36:26","2021-05-17 15:36:26",noindex,
49,10,商品購入/利用ポイント,point_use,../../Plugin/Point/Resource/template/default/point_use,2,,,,,"2021-05-17 15:48:13","2021-05-17 15:48:13",noindex,
